date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth,year,month_name,weekday,month,season,rain_intensity,dtr,decade,daylight_hours,cloud_hours,sunshine_norm,cloud_cover_norm,precipitation_norm,radiance_score,radiance_percent,radiance_label,radiance_bin,daily_energy_j_per_m2,daily_energy_j,daily_rain_litres
1979-01-01,2,7.0,52.0,2.3,-4.1,-7.5,0.4,101900.0,9.0,1979,January,Monday,1,Winter,Light Rain,9.8,1970,12,5.0,0.4375,0.25,0.006472491909385114,2.1810275080906147,72.70091693635382,Bright,"(71.095, 75.809]",4492800.0,53913600000000.0,4800000.0
1979-01-02,6,1.7,27.0,1.6,-2.6,-7.5,0.0,102530.0,8.0,1979,January,Tuesday,1,Winter,No Rain,9.1,1970,12,10.3,0.10625,0.75,0.0,1.35625,45.208333333333336,Mixed,"(42.816, 47.529]",2332800.0,27993600000000.0,0.0
1979-01-03,5,0.0,13.0,1.3,-2.8,-7.2,0.0,102050.0,4.0,1979,January,Wednesday,1,Winter,No Rain,8.5,1970,12,12.0,0.0,0.625,0.0,1.375,45.83333333333333,Mixed,"(42.816, 47.529]",1123200.0,13478400000000.0,0.0
1979-01-04,8,0.0,13.0,-0.3,-2.6,-6.5,0.0,100840.0,2.0,1979,January,Thursday,1,Winter,No Rain,6.2,1970,12,12.0,0.0,1.0,0.0,1.0,33.33333333333333,Gloomy,"(28.676, 33.389]",1123200.0,13478400000000.0,0.0
1979-01-05,6,2.0,29.0,5.6,-0.8,-1.4,0.0,102250.0,1.0,1979,January,Friday,1,Winter,No Rain,7.0,1970,12,10.0,0.125,0.75,0.0,1.375,45.83333333333333,Mixed,"(42.816, 47.529]",2505600.0,30067200000000.0,0.0
1979-01-06,5,3.8,39.0,8.3,-0.5,-6.6,0.7,102780.0,1.0,1979,January,Saturday,1,Winter,Light Rain,14.9,1970,12,8.2,0.2375,0.625,0.011326860841423947,1.601173139158576,53.372437971952536,Mixed,"(52.242, 56.955]",3369600.0,40435200000000.0,8400000.0
1979-01-07,8,0.0,13.0,8.5,1.5,-5.3,5.2,102520.0,0.0,1979,January,Sunday,1,Winter,Moderate Rain,13.8,1970,12,12.0,0.0,1.0,0.08414239482200649,0.9158576051779935,30.528586839266453,Gloomy,"(28.676, 33.389]",1123200.0,13478400000000.0,62400000.0
1979-01-08,8,0.1,15.0,5.8,6.9,5.3,0.8,101870.0,0.0,1979,January,Monday,1,Winter,Light Rain,0.5,1970,12,11.9,0.00625,1.0,0.012944983818770227,0.9933050161812298,33.11016720604099,Gloomy,"(28.676, 33.389]",1296000.0,15552000000000.0,9600000.0
1979-01-09,4,5.8,50.0,5.2,3.7,1.6,7.2,101170.0,0.0,1979,January,Tuesday,1,Winter,Moderate Rain,3.6,1970,12,6.2,0.3625,0.5,0.11650485436893204,1.745995145631068,58.19983818770227,Mixed,"(56.955, 61.669]",4320000.0,51840000000000.0,86400000.0
1979-01-10,7,1.9,30.0,4.9,3.3,1.4,2.1,98700.0,0.0,1979,January,Wednesday,1,Winter,Light Rain,3.5000000000000004,1970,12,10.1,0.11875,0.875,0.03398058252427185,1.209769417475728,40.325647249190936,Mixed,"(38.102, 42.816]",2592000.0,31104000000000.0,25200000.0
1979-01-11,1,6.8,55.0,2.9,2.6,0.3,2.3,98960.0,0.0,1979,January,Thursday,1,Winter,Light Rain,2.6,1970,12,5.2,0.425,0.125,0.0372168284789644,2.2627831715210354,75.42610571736785,Bright,"(71.095, 75.809]",4752000.0,57024000000000.0,27599999.999999996
1979-01-12,3,6.4,54.0,2.0,0.4,-2.0,0.0,100650.0,1.0,1979,January,Friday,1,Winter,No Rain,4.0,1970,12,5.6,0.4,0.375,0.0,2.025,67.5,Bright,"(66.382, 71.095]",4665600.0,55987200000000.0,0.0
1979-01-13,1,7.0,57.0,4.3,-2.6,-7.1,0.0,102350.0,1.0,1979,January,Saturday,1,Winter,No Rain,11.399999999999999,1970,12,5.0,0.4375,0.125,0.0,2.3125,77.08333333333334,Bright,"(75.809, 80.522]",4924800.0,59097600000000.0,0.0
1979-01-14,7,0.0,14.0,6.7,-0.6,-5.6,0.8,102700.0,1.0,1979,January,Sunday,1,Winter,Light Rain,12.3,1970,12,12.0,0.0,0.875,0.012944983818770227,1.11205501618123,37.068500539374334,Gloomy,"(33.389, 38.102]",1209600.0,14515200000000.0,9600000.0
1979-01-15,8,0.0,15.0,5.9,3.8,1.0,0.1,102990.0,0.0,1979,January,Monday,1,Winter,Light Rain,4.9,1970,12,12.0,0.0,1.0,0.0016181229773462784,0.9983818770226537,33.27939590075512,Gloomy,"(28.676, 33.389]",1296000.0,15552000000000.0,1200000.0
1979-01-16,8,0.0,15.0,2.6,5.0,4.1,3.9,103100.0,0.0,1979,January,Tuesday,1,Winter,Moderate Rain,-1.4999999999999996,1970,12,12.0,0.0,1.0,0.06310679611650485,0.9368932038834952,31.22977346278317,Gloomy,"(28.676, 33.389]",1296000.0,15552000000000.0,46800000.0
1979-01-17,8,0.0,15.0,1.9,2.1,1.6,2.5,102220.0,0.0,1979,January,Wednesday,1,Winter,Light Rain,0.2999999999999998,1970,12,12.0,0.0,1.0,0.04045307443365696,0.959546925566343,31.984897518878103,Gloomy,"(28.676, 33.389]",1296000.0,15552000000000.0,30000000.0
1979-01-18,8,0.0,15.0,3.0,0.8,-0.2,0.2,101860.0,0.0,1979,January,Thursday,1,Winter,Light Rain,3.2,1970,12,12.0,0.0,1.0,0.003236245954692557,0.9967637540453075,33.22545846817692,Gloomy,"(28.676, 33.389]",1296000.0,15552000000000.0,2400000.0
1979-01-19,8,0.0,16.0,7.2,0.8,-1.4,5.2,100910.0,0.0,1979,January,Friday,1,Winter,Moderate Rain,8.6,1970,12,12.0,0.0,1.0,0.08414239482200649,0.9158576051779935,30.528586839266453,Gloomy,"(28.676, 33.389]",1382400.0,16588800000000.0,62400000.0
1979-01-20,7,0.0,16.0,3.5,3.1,-1.0,0.0,100920.0,0.0,1979,January,Saturday,1,Winter,No Rain,4.5,1970,12,12.0,0.0,0.875,0.0,1.125,37.5,Gloomy,"(33.389, 38.102]",1382400.0,16588800000000.0,0.0
1979-01-21,8,0.0,16.0,1.5,0.0,-3.5,0.1,102170.0,0.0,1979,January,Sunday,1,Winter,Light Rain,5.0,1970,12,12.0,0.0,1.0,0.0016181229773462784,0.9983818770226537,33.27939590075512,Gloomy,"(28.676, 33.389]",1382400.0,16588800000000.0,1200000.0
1979-01-22,8,0.0,16.0,0.3,-0.2,-1.8,6.2,101680.0,0.0,1979,January,Monday,1,Winter,Moderate Rain,2.1,1970,12,12.0,0.0,1.0,0.10032362459546926,0.8996763754045307,29.989212513484357,Gloomy,"(28.676, 33.389]",1382400.0,16588800000000.0,74400000.0
1979-01-23,7,0.0,17.0,2.9,-1.0,-2.3,1.0,100970.0,6.0,1979,January,Tuesday,1,Winter,Light Rain,5.199999999999999,1970,12,12.0,0.0,0.875,0.016181229773462785,1.108818770226537,36.9606256742179,Gloomy,"(33.389, 38.102]",1468800.0,17625600000000.0,12000000.0
1979-01-24,3,4.8,54.0,5.6,-1.4,-5.6,1.4,101010.0,6.0,1979,January,Wednesday,1,Winter,Light Rain,11.2,1970,12,7.2,0.3,0.375,0.022653721682847894,1.902346278317152,63.411542610571736,Mixed,"(61.669, 66.382]",4665600.0,55987200000000.0,16800000.0
